CustomerID,SubscriptionID,StartDate,EndDate,Churned
226,226,2021-06-17,,0
227,227,2021-05-11,,0
228,228,2021-01-02,2022-06-03,0
229,229,2020-06-03,,1
230,230,2020-03-16,,0
231,231,2021-07-29,,0
232,232,2021-06-15,2022-01-27,0
233,233,2021-04-16,,1
234,234,2021-07-25,,0
235,235,2021-02-16,2021-07-15,1
236,236,2020-03-24,,0
237,237,2020-11-20,,0
238,238,2021-06-28,,0
239,239,2020-09-03,,0
240,240,2020-06-25,,0
241,241,2020-07-28,,0
242,242,2021-05-16,2021-11-08,1
243,243,2020-09-13,,0
244,244,2021-08-26,,1
245,245,2020-09-07,,0
246,246,2020-01-05,,1
247,247,2020-01-20,,1
248,248,2021-10-07,,1
249,249,2020-04-03,2020-08-27,1
250,250,2020-05-15,2022-12-01,1
251,251,2020-11-16,,0
252,252,2020-02-17,,1
253,253,2021-12-25,,0
254,254,2021-05-26,,0
255,255,2021-01-30,,1
256,256,2020-05-15,,1
257,257,2020-08-18,,0
258,258,2020-12-04,2021-09-06,0
259,259,2021-10-31,,0
260,260,2020-08-10,,0
261,261,2021-04-07,2021-06-20,0
262,262,2021-03-01,2021-10-28,1
263,263,2020-02-21,2020-06-26,0
264,264,2020-12-17,,0
265,265,2021-08-16,,0
266,266,2021-08-31,,0
267,267,2020-12-21,,1
268,268,2020-03-15,,0
269,269,2021-10-09,2022-06-17,0
270,270,2020-01-14,,0
271,271,2020-05-04,,1
272,272,2020-02-05,,0
273,273,2021-02-28,,1
274,274,2020-01-03,2020-09-22,1
275,275,2020-01-10,,0
276,276,2021-05-05,,0
277,277,2020-11-23,2021-11-04,0
278,278,2021-03-07,,0
279,279,2021-10-15,,1
280,280,2020-05-17,,0
281,281,2020-05-21,,1
282,282,2021-10-16,2022-04-01,1
283,283,2021-03-13,,0
284,284,2020-04-03,,1
285,285,2020-08-15,,0
286,286,2021-06-18,2022-11-06,1
287,287,2020-12-27,,0
288,288,2020-02-27,,0
289,289,2020-10-12,2021-03-14,0
290,290,2020-11-16,,0
291,291,2020-08-29,2022-04-27,1
292,292,2020-02-02,,0
293,293,2021-08-29,,0
294,294,2020-06-24,,1
295,295,2020-12-30,2022-08-05,0
296,296,2021-03-05,,1
297,297,2021-03-22,,0
298,298,2021-07-04,,1
299,299,2020-03-28,,0
300,300,2020-11-02,,0
301,301,2020-07-07,,1
302,302,2021-08-08,,0
303,303,2021-11-24,,0
304,304,2020-08-07,,0
305,305,2020-02-18,2020-09-04,0
306,306,2020-02-17,,0
307,307,2020-05-05,,0
308,308,2021-08-09,,0
309,309,2021-09-28,,1
310,310,2021-02-14,,1
311,311,2021-11-26,2022-06-28,0
312,312,2020-11-18,,0
313,313,2020-05-09,,0
314,314,2020-12-29,2022-08-05,0
315,315,2021-04-20,2022-02-25,0
316,316,2020-06-01,,1
317,317,2020-07-29,,0
318,318,2021-01-23,2022-08-25,0
319,319,2020-01-06,,0
320,320,2021-09-03,2022-03-25,0
321,321,2020-06-01,,0
322,322,2021-03-28,2021-10-26,1
323,323,2021-07-05,,0
324,324,2021-10-22,2022-09-23,0
325,325,2020-07-15,,1
326,326,2020-07-21,,0
327,327,2021-01-11,,0
328,328,2020-05-01,,0
329,329,2021-10-07,2022-01-21,0
330,330,2020-03-01,,0
331,331,2021-02-07,2021-05-28,0
332,332,2021-11-11,2022-07-01,0
333,333,2021-08-11,2022-02-16,0
334,334,2020-02-04,,1
335,335,2021-04-07,,1
336,336,2021-02-02,,0
337,337,2020-08-31,,0
338,338,2021-01-19,,0
339,339,2021-12-12,,0
340,340,2021-06-24,,0
341,341,2021-02-06,2021-07-13,0
342,342,2021-11-23,,1
343,343,2021-08-01,,1
344,344,2020-06-19,,0
345,345,2020-07-16,,0
346,346,2021-07-09,,1
347,347,2021-01-17,,0
348,348,2021-04-12,,1
349,349,2021-09-23,,1
350,350,2021-12-20,,0
351,351,2021-05-07,,0
352,352,2020-05-22,,0
353,353,2021-06-14,,0
354,354,2020-11-14,2021-05-14,1
355,355,2020-05-30,2021-04-06,0
356,356,2020-01-20,,1
357,357,2020-12-17,,0
358,358,2021-10-18,2021-11-10,0
359,359,2021-06-02,2021-11-29,0
360,360,2020-01-18,,0
361,361,2021-11-17,,0
362,362,2020-08-10,2021-02-26,0
363,363,2021-12-29,2022-10-02,0
364,364,2020-05-23,,1
365,365,2021-01-28,,1
366,366,2021-11-23,,1
367,367,2020-06-09,,0
368,368,2021-03-15,2021-10-06,0
369,369,2021-09-23,,0
370,370,2020-09-11,,0
371,371,2021-02-14,2022-05-06,1
372,372,2021-10-30,,0
373,373,2021-12-27,,0
374,374,2021-06-29,2022-05-29,0
375,375,2020-01-19,2022-10-17,1
376,376,2021-05-30,,1
377,377,2020-04-27,,0
378,378,2021-07-13,,0
379,379,2021-02-13,,0
380,380,2021-02-06,2021-06-26,1
381,381,2021-10-07,2022-11-19,1
382,382,2020-03-07,,0
383,383,2021-04-12,,0
384,384,2020-11-21,,1
385,385,2021-09-07,2022-08-17,0
386,386,2020-05-09,,0
387,387,2021-12-31,2022-05-16,0
388,388,2020-02-10,,0
389,389,2020-08-30,,1
390,390,2020-01-05,,0
391,391,2021-10-16,,0
392,392,2021-07-18,,1
393,393,2020-06-06,,0
394,394,2021-12-14,,0
395,395,2021-12-08,,0
396,396,2021-06-17,2022-09-18,0
397,397,2020-06-02,,0
398,398,2021-09-09,,0
399,399,2020-11-20,,1
400,400,2020-03-09,2021-10-10,0
401,401,2020-07-04,,0
402,402,2021-06-18,,1
403,403,2021-07-13,2022-04-22,1
404,404,2020-10-02,,1
405,405,2021-12-01,,0
406,406,2020-01-16,,0
407,407,2020-04-16,2021-09-25,0
408,408,2021-01-26,,0
409,409,2021-09-02,,0
410,410,2021-08-18,2022-01-17,1
411,411,2020-03-18,,1
412,412,2020-09-28,,0
413,413,2021-07-19,,0
414,414,2021-05-27,,0
415,415,2020-07-03,2021-08-28,0
416,416,2020-01-30,,0
417,417,2020-01-06,,1
418,418,2020-04-07,2022-10-14,1
419,419,2020-06-26,,1
420,420,2021-09-21,,1
421,421,2020-02-02,,1
422,422,2021-04-30,,0
423,423,2020-06-04,,0
424,424,2020-08-10,2020-09-09,1
425,425,2020-06-11,2021-07-18,1
426,426,2020-05-07,,0
427,427,2021-01-15,2022-08-06,0
428,428,2020-04-09,2021-05-12,0
429,429,2021-11-04,,0
430,430,2021-05-26,,1
431,431,2021-04-02,,0
432,432,2021-05-31,2022-10-24,1
433,433,2021-02-12,,0
434,434,2021-11-06,,1
435,435,2021-05-13,,1
436,436,2020-07-13,,0
437,437,2021-08-28,,1
438,438,2020-03-22,2020-08-01,0
439,439,2021-10-21,,0
440,440,2021-06-18,,0
441,441,2021-08-23,,1
442,442,2021-05-06,2022-07-17,0
443,443,2021-06-05,2022-03-15,0
444,444,2021-02-01,,1
445,445,2021-06-17,,0
446,446,2020-07-15,2022-01-29,0
447,447,2021-07-06,,1
448,448,2020-10-18,,1
449,449,2020-09-29,,1
450,450,2020-12-17,,0
451,451,2020-06-07,2022-02-18,0
452,452,2020-03-24,,1
453,453,2020-11-09,,0
454,454,2020-02-01,,0
455,455,2021-10-11,2022-02-13,0
456,456,2021-06-02,2021-06-09,0
457,457,2021-02-07,2022-11-02,1
458,458,2020-12-17,,0
459,459,2020-05-04,,0
460,460,2020-02-29,,0
461,461,2021-11-24,,1
462,462,2021-08-27,,0
463,463,2021-10-31,2021-11-05,0
464,464,2021-09-20,2022-04-17,0
465,465,2020-02-06,,0
466,466,2021-05-25,,1
467,467,2020-07-12,2021-05-15,0
468,468,2021-01-03,,0
469,469,2021-04-19,,0
470,470,2020-12-19,2022-02-26,0
471,471,2021-07-08,,1
472,472,2021-09-27,2022-09-03,0
473,473,2021-04-11,,0
474,474,2021-03-01,,1
475,475,2020-10-21,,1
476,476,2021-10-19,,0
477,477,2021-03-14,,0
478,478,2020-07-26,,0
479,479,2021-01-27,,1
480,480,2021-05-27,,1
481,481,2020-06-08,,0
482,482,2020-06-12,,0
483,483,2020-10-18,2021-12-22,0
484,484,2021-02-27,,0
485,485,2021-06-18,,1
486,486,2021-11-16,,0
487,487,2021-06-25,,0
488,488,2020-03-30,,0
489,489,2021-06-21,,0
490,490,2021-09-12,2021-12-26,0
491,491,2021-07-04,,1
492,492,2021-02-22,,0
493,493,2021-05-29,,1
494,494,2020-09-15,,0
495,495,2020-09-18,2021-06-02,0
496,496,2021-12-02,,0
497,497,2020-06-17,,1
498,498,2020-03-04,2021-09-17,0
499,499,2021-01-02,,0
500,500,2021-03-23,2022-06-15,0
501,501,2020-05-30,,0
502,502,2020-01-07,,0
503,503,2021-09-12,,1
504,504,2020-11-22,,0
505,505,2021-09-07,,1
506,506,2021-11-14,,0
507,507,2020-07-21,,0
508,508,2020-11-08,2022-05-27,0
509,509,2021-10-18,2022-07-11,0
510,510,2020-03-11,,0
511,511,2021-12-13,2022-08-30,1
512,512,2021-06-21,,0
513,513,2021-08-27,,0
514,514,2020-06-19,,1
515,515,2020-01-08,,0
516,516,2020-04-15,,0
517,517,2021-12-11,2022-05-15,1
518,518,2021-01-15,,1
519,519,2021-10-17,,0
520,520,2020-01-01,2020-08-25,0
521,521,2020-01-05,2021-01-13,1
522,522,2020-11-23,2021-10-11,0
523,523,2020-05-09,2021-11-12,0
524,524,2020-11-05,,1
525,525,2021-06-09,2022-07-03,1
526,526,2020-07-18,2021-02-23,0
527,527,2021-09-23,,0
528,528,2022-01-01,2022-02-07,0
529,529,2020-03-05,,0
530,530,2020-04-14,,0
531,531,2020-08-21,,0
532,532,2021-01-30,,1
533,533,2020-07-19,,0
534,534,2021-06-28,,1
535,535,2021-11-09,,0
536,536,2021-09-20,,1
537,537,2020-11-04,,1
538,538,2021-11-20,,0
539,539,2021-03-05,,0
540,540,2020-02-21,,0
541,541,2020-09-19,,0
542,542,2020-05-24,,0
543,543,2020-02-12,,0
544,544,2021-10-14,,1
545,545,2021-01-05,,1
546,546,2020-12-21,,0
547,547,2021-09-12,2022-05-01,0
548,548,2021-06-02,2021-10-29,0
549,549,2021-01-01,,0
550,550,2021-11-20,,1
551,551,2020-10-20,2020-12-17,1
552,552,2021-12-24,,0
553,553,2021-02-10,,0
554,554,2021-06-06,,0
555,555,2020-01-01,,1
556,556,2021-04-08,,1
557,557,2021-04-17,,0
558,558,2020-01-05,,0
559,559,2020-03-03,,0
560,560,2021-10-02,,0
561,561,2021-01-22,,0
562,562,2020-06-07,,0
563,563,2021-05-27,,0
564,564,2021-06-07,,1
565,565,2020-03-07,,0
566,566,2021-10-12,,1
567,567,2020-06-03,2021-02-25,0
568,568,2020-10-22,,0
569,569,2020-03-16,2022-07-21,0
570,570,2020-04-24,2020-12-13,0
571,571,2021-09-16,2022-10-08,0
572,572,2020-01-05,,0
573,573,2020-07-08,2021-10-22,0
574,574,2020-10-27,2020-11-20,0
575,575,2021-04-29,,0
576,576,2021-02-15,2022-01-27,0
577,577,2021-11-14,,0
578,578,2020-05-17,,1
579,579,2020-09-25,,1
580,580,2020-09-06,,0
581,581,2021-03-22,,1
582,582,2020-11-26,,0
583,583,2021-05-21,2022-04-01,1
584,584,2021-06-13,,0
585,585,2021-11-02,2021-11-15,0
586,586,2021-12-12,,0
587,587,2020-06-12,2020-10-20,0
588,588,2020-03-05,,1
589,589,2021-03-12,2022-01-07,0
590,590,2021-05-22,,1
591,591,2020-10-06,2020-11-03,1
592,592,2020-04-24,2020-07-27,0
593,593,2021-04-19,,1
594,594,2021-06-24,,0
595,595,2021-03-22,,1
596,596,2021-03-28,,0
597,597,2020-01-05,,0
598,598,2021-10-13,,0
599,599,2020-12-09,2021-07-20,0
600,600,2020-08-09,,1
601,601,2021-07-21,,0
602,602,2020-10-16,,0
603,603,2020-02-03,,1
604,604,2021-06-17,,0
605,605,2020-08-07,,0
606,606,2020-10-27,,1
607,607,2021-03-19,,0
608,608,2021-11-29,,0
609,609,2020-07-21,,1
610,610,2020-11-23,,1
611,611,2021-05-02,,1
612,612,2021-12-08,,0
613,613,2021-09-08,,0
614,614,2020-06-24,2022-10-09,1
615,615,2021-07-28,2022-10-21,0
616,616,2021-03-12,,0
617,617,2020-01-19,,1
618,618,2021-07-06,,1
619,619,2021-03-13,2021-03-17,1
620,620,2021-05-15,2021-10-03,1
621,621,2021-05-16,,0
622,622,2021-12-18,2022-08-13,1
623,623,2021-03-13,,1
624,624,2021-07-11,,0
625,625,2020-10-19,2022-12-10,0
626,626,2020-04-09,,1
627,627,2020-11-29,,0
628,628,2020-06-10,2020-09-01,0
629,629,2021-04-09,,0
630,630,2021-10-30,2022-05-23,1
631,631,2020-11-15,2022-06-21,0
632,632,2020-07-28,2022-06-01,0
633,633,2020-10-31,,1
634,634,2020-10-09,,0
635,635,2020-01-22,,0
636,636,2021-05-26,,1
637,637,2021-04-10,2021-06-20,0
638,638,2020-09-07,,1
639,639,2020-01-30,,0
640,640,2021-02-01,2022-08-16,0
641,641,2020-02-01,2020-11-05,0
642,642,2021-10-27,2022-09-11,0
643,643,2020-11-06,2022-02-26,0
644,644,2020-01-23,,0
645,645,2020-12-22,2022-06-27,0
646,646,2020-08-23,,1
647,647,2020-06-17,,0
648,648,2021-11-25,,0
649,649,2020-05-18,2021-03-24,0
650,650,2020-01-12,,0
651,651,2021-09-15,,0
652,652,2021-01-18,2021-05-23,0
653,653,2020-09-25,2021-05-15,0
654,654,2021-07-07,2021-07-12,0
655,655,2020-12-06,,0
656,656,2020-01-20,2021-09-09,0
657,657,2021-08-06,,0
658,658,2020-01-29,,1
659,659,2021-02-15,,0
660,660,2020-04-25,,0
661,661,2020-06-04,2021-06-06,1
662,662,2020-08-27,,0
663,663,2021-12-28,,0
664,664,2020-09-11,2021-09-02,0
665,665,2020-03-09,,0
666,666,2021-12-22,2022-03-09,0
667,667,2020-06-15,,0
668,668,2020-09-19,,1
669,669,2021-12-29,2022-05-15,1
670,670,2021-08-16,,0
671,671,2020-05-05,,0
672,672,2021-02-13,,0
673,673,2020-06-21,,0
674,674,2020-10-30,,1
675,675,2020-07-24,,0
676,676,2021-04-24,2021-11-02,0
677,677,2020-08-08,2021-02-13,0
678,678,2021-05-19,,0
679,679,2020-11-24,2020-12-07,0
680,680,2021-04-12,,0
681,681,2021-07-28,,0
682,682,2021-12-09,,1
683,683,2020-04-29,,0
684,684,2021-08-03,2021-09-30,1
685,685,2021-12-28,,0
686,686,2021-03-11,,0
687,687,2021-02-19,,0
688,688,2021-05-08,,0
689,689,2020-02-28,2020-03-18,0
690,690,2020-11-15,2021-05-01,0
691,691,2020-02-24,2022-09-20,0
692,692,2021-04-10,,0
693,693,2021-06-29,,0
694,694,2021-10-20,,0
695,695,2020-11-15,2022-03-23,0
696,696,2021-11-28,,0
697,697,2020-10-04,,1
698,698,2021-01-29,2021-06-09,1
699,699,2021-03-02,,0
700,700,2020-03-18,2020-05-26,0
701,701,2021-01-02,2022-01-25,0
702,702,2020-06-08,2021-08-23,0
703,703,2021-10-06,2022-09-07,1
704,704,2021-10-13,,1
705,705,2020-09-14,,0
706,706,2020-01-06,,0
707,707,2021-10-22,2022-09-18,0
708,708,2020-07-05,2022-11-20,0
709,709,2020-05-11,,0
710,710,2020-05-16,,1
711,711,2021-02-09,,1
712,712,2020-12-27,,0
713,713,2021-06-23,2022-06-11,0
714,714,2021-02-25,,0
715,715,2021-01-23,,0
716,716,2020-09-13,,0
717,717,2020-06-30,2020-09-20,0
718,718,2022-01-01,,0
719,719,2020-05-16,,0
720,720,2021-05-01,,0
721,721,2020-12-18,,1
722,722,2020-07-08,2020-08-19,0
723,723,2020-11-12,,0
724,724,2020-05-03,,0
725,725,2021-04-02,,0
726,726,2020-10-25,2021-02-07,1
727,727,2021-01-25,,0
728,728,2021-10-24,2021-12-06,0
729,729,2020-11-11,,1
730,730,2021-04-07,,1
731,731,2021-04-17,,0
732,732,2020-10-29,,0
733,733,2020-11-07,2022-03-07,1
734,734,2020-02-18,,1
735,735,2020-02-25,2022-10-24,0
736,736,2021-07-06,,0
737,737,2021-09-24,,1
738,738,2020-10-18,,0
739,739,2021-11-15,,1
740,740,2020-07-03,,0
741,741,2021-06-13,,0
742,742,2021-09-01,,0
743,743,2021-01-24,,1
744,744,2020-08-06,,0
745,745,2021-01-25,2022-09-29,0
746,746,2020-04-12,,0
747,747,2021-08-01,,0
748,748,2020-06-23,,0
749,749,2021-04-04,,1
750,750,2020-12-19,,1
751,751,2020-01-12,,0
752,752,2020-09-16,,0
753,753,2020-06-19,,0
754,754,2021-09-11,,1
755,755,2021-08-18,2022-07-14,0
756,756,2021-03-07,2021-08-17,0
757,757,2020-05-02,2020-07-27,0
758,758,2020-02-26,2022-04-03,0
759,759,2021-11-22,,0
760,760,2021-04-24,,0
761,761,2020-10-12,2021-12-09,0
762,762,2021-06-15,2022-01-25,0
763,763,2020-08-01,,0
764,764,2021-07-24,,1
765,765,2020-04-09,,1
766,766,2020-10-03,,1
767,767,2020-04-02,,0
768,768,2020-08-03,,1
769,769,2020-11-14,,0
770,770,2021-06-22,,0
771,771,2021-08-10,,0
772,772,2021-09-03,,1
773,773,2021-10-14,,1
774,774,2021-11-25,,0
775,775,2021-12-20,,0
776,776,2021-04-05,,0
777,777,2020-02-09,2021-05-09,1
778,778,2020-09-23,,1
779,779,2020-08-03,2021-10-04,0
780,780,2021-12-11,,0
781,781,2020-03-26,,0
782,782,2021-12-01,,0
783,783,2020-01-17,2022-05-01,0
784,784,2021-08-04,,0
785,785,2021-07-24,,1
786,786,2020-08-24,,1
787,787,2021-05-06,,0
788,788,2020-04-30,2020-07-26,0
789,789,2020-01-02,,0
790,790,2021-03-30,,0
791,791,2020-12-19,,1
792,792,2021-12-10,2022-04-11,0
793,793,2021-01-31,,0
794,794,2020-12-12,,1
795,795,2021-08-05,,0
796,796,2020-08-01,,0
797,797,2020-03-16,,1
798,798,2021-09-05,,0
799,799,2021-01-18,2022-05-17,0
800,800,2020-08-09,,0
801,801,2021-07-07,,0
802,802,2021-01-11,,1
803,803,2021-07-13,2021-07-30,0
804,804,2020-09-09,,1
805,805,2021-12-20,,1
806,806,2020-09-20,,0
807,807,2020-12-03,,0
808,808,2020-12-01,,0
809,809,2021-06-03,,0
810,810,2020-06-12,2021-11-16,0
811,811,2020-02-25,,1
812,812,2020-11-14,2021-10-10,0
813,813,2021-10-11,,0
814,814,2020-08-13,,0
815,815,2021-10-22,,0
816,816,2021-02-01,,0
817,817,2021-09-26,,0
818,818,2021-07-18,,0
819,819,2021-01-30,,1
820,820,2021-04-24,,0
821,821,2020-01-11,,1
822,822,2021-04-11,,0
823,823,2020-03-08,,1
824,824,2020-06-25,,0
825,825,2021-06-12,,0
826,826,2020-10-02,,0
827,827,2021-03-28,,0
828,828,2020-08-11,,0
829,829,2020-01-19,2021-08-24,0
830,830,2020-03-19,2022-03-23,0
831,831,2020-03-02,,0
832,832,2020-10-02,,1
833,833,2020-09-05,2022-02-19,0
834,834,2021-12-23,,0
835,835,2020-05-06,2020-12-22,0
836,836,2020-09-13,2022-06-04,0
837,837,2020-12-07,,1
838,838,2020-05-02,2022-02-28,0
839,839,2021-02-05,,0
840,840,2020-04-16,,0
841,841,2020-07-01,,0
842,842,2021-07-29,2021-08-31,0
843,843,2021-09-18,,0
844,844,2021-10-03,,0
845,845,2021-06-02,,0
846,846,2020-10-10,,1
847,847,2021-09-17,2022-05-20,0
848,848,2021-01-02,,1
849,849,2021-03-27,,0
850,850,2021-12-18,,0
851,851,2021-03-25,,1
852,852,2020-09-20,,1
853,853,2020-09-06,,1
854,854,2020-11-08,2021-08-27,0
855,855,2021-08-24,2022-05-05,0
856,856,2021-10-19,2022-06-13,1
857,857,2021-07-13,2022-02-25,0
858,858,2021-06-23,,0
859,859,2021-12-10,2022-12-22,0
860,860,2020-08-10,,0
861,861,2020-07-27,2020-08-10,0
862,862,2021-01-07,2021-06-26,0
863,863,2021-03-16,2022-02-18,0
864,864,2020-11-05,,1
865,865,2021-01-30,,0
866,866,2021-03-31,2022-03-12,1
867,867,2021-05-01,,0
868,868,2020-05-28,,0
869,869,2021-10-18,,0
870,870,2020-05-25,2021-01-09,0
871,871,2020-01-04,2022-12-06,0
872,872,2020-04-22,,1
873,873,2020-09-13,2021-03-04,1
874,874,2020-07-07,,1
875,875,2020-10-18,2021-10-01,0
876,876,2021-06-21,,1
877,877,2021-11-03,,0
878,878,2021-04-01,,0
879,879,2021-04-01,,0
880,880,2020-10-01,,0
881,881,2020-06-15,2021-11-02,0
882,882,2020-10-22,,1
883,883,2021-12-11,,0
884,884,2020-10-23,,1
885,885,2021-08-25,,0
886,886,2021-06-24,2021-08-16,1
887,887,2021-04-27,2022-12-17,0
888,888,2020-01-30,2021-06-08,1
